
==================== Parser Summary ====================
Num Cell: 150750
Num Net: 166998
Max Degree: 4
Lower Bound: 74621.2
Higher Bound: 76128.8

==================== Init Partition Summary ====================
Left: 74622, Right: 76128
Initial State: 109852
[FM(250)]Cut Size: 43379, Current Best Cut: 43210, Repeat for: 1, Not Change for: 26
[FM(251)]Cut Size: 43438, Current Best Cut: 43210, Repeat for: 1, Not Change for: 27
[FM(252)]Cut Size: 43485, Current Best Cut: 43210, Repeat for: 1, Not Change for: 28
[FM(253)]Cut Size: 43164, Current Best Cut: 43164, Repeat for: 1, Not Change for: 0
[FM(254)]Cut Size: 43257, Current Best Cut: 43164, Repeat for: 1, Not Change for: 1
[FM(255)]Cut Size: 43076, Current Best Cut: 43076, Repeat for: 1, Not Change for: 0
[FM(256)]Cut Size: 43097, Current Best Cut: 43076, Repeat for: 1, Not Change for: 1
[FM(257)]Cut Size: 43069, Current Best Cut: 43069, Repeat for: 1, Not Change for: 0
[FM(258)]Cut Size: 43085, Current Best Cut: 43069, Repeat for: 1, Not Change for: 1
[FM(259)]Cut Size: 43069, Current Best Cut: 43069, Repeat for: 2, Not Change for: 2
[FM(260)]Cut Size: 43109, Current Best Cut: 43069, Repeat for: 2, Not Change for: 3
[FM(261)]Cut Size: 43109, Current Best Cut: 43069, Repeat for: 2, Not Change for: 4
[FM(262)]Cut Size: 43109, Current Best Cut: 43069, Repeat for: 2, Not Change for: 5
[FM(263)]Cut Size: 43109, Current Best Cut: 43069, Repeat for: 2, Not Change for: 6
[FM(264)]Cut Size: 43090, Current Best Cut: 43069, Repeat for: 2, Not Change for: 7
[FM(265)]Cut Size: 43090, Current Best Cut: 43069, Repeat for: 2, Not Change for: 8
[FM(266)]Cut Size: 43090, Current Best Cut: 43069, Repeat for: 2, Not Change for: 9
[FM(267)]Cut Size: 43090, Current Best Cut: 43069, Repeat for: 2, Not Change for: 10
[FM(268)]Cut Size: 43140, Current Best Cut: 43069, Repeat for: 2, Not Change for: 11
[FM(269)]Cut Size: 43108, Current Best Cut: 43069, Repeat for: 2, Not Change for: 12
[FM(270)]Cut Size: 43108, Current Best Cut: 43069, Repeat for: 2, Not Change for: 13
[FM(271)]Cut Size: 43379, Current Best Cut: 43069, Repeat for: 2, Not Change for: 14
[FM(272)]Cut Size: 43379, Current Best Cut: 43069, Repeat for: 2, Not Change for: 15
[FM(273)]Cut Size: 43373, Current Best Cut: 43069, Repeat for: 2, Not Change for: 16
[FM(274)]Cut Size: 43836, Current Best Cut: 43069, Repeat for: 2, Not Change for: 17
[FM(275)]Cut Size: 43863, Current Best Cut: 43069, Repeat for: 2, Not Change for: 18
[FM(276)]Cut Size: 43863, Current Best Cut: 43069, Repeat for: 2, Not Change for: 19
[FM(277)]Cut Size: 43863, Current Best Cut: 43069, Repeat for: 2, Not Change for: 20
[FM(278)]Cut Size: 43863, Current Best Cut: 43069, Repeat for: 2, Not Change for: 21
[FM(279)]Cut Size: 43216, Current Best Cut: 43069, Repeat for: 2, Not Change for: 22
[FM(280)]Cut Size: 43216, Current Best Cut: 43069, Repeat for: 2, Not Change for: 23
[FM(281)]Cut Size: 43361, Current Best Cut: 43069, Repeat for: 2, Not Change for: 24
[FM(282)]Cut Size: 43713, Current Best Cut: 43069, Repeat for: 2, Not Change for: 25
[FM(283)]Cut Size: 43184, Current Best Cut: 43069, Repeat for: 2, Not Change for: 26
[FM(284)]Cut Size: 43261, Current Best Cut: 43069, Repeat for: 2, Not Change for: 27
[FM(285)]Cut Size: 43261, Current Best Cut: 43069, Repeat for: 2, Not Change for: 28
[FM(286)]Cut Size: 43261, Current Best Cut: 43069, Repeat for: 2, Not Change for: 29
[FM(287)]Cut Size: 43261, Current Best Cut: 43069, Repeat for: 2, Not Change for: 30
[FM(288)]Cut Size: 43074, Current Best Cut: 43069, Repeat for: 2, Not Change for: 31
